CpG,Location,Chr,Pos,Gene,Type,Beta,SE,P,Details,StudyID,Author,Consortium,PMID,Date,Trait,EFO,Analysis,Source,Outcome,Exposure,Covariates,Outcome_Units,Exposure_Units,Methylation_Array,Tissue,Further_Details,N,N_Cohorts,Age,Sex,Ancestry
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,0.016,0.003,1.59e-06,-,27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_newborns_adjusted_for_cell_counts,Joubert BR,PACE,27040690,2016-04-07,Maternal smoking in pregnancy,"EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950",Sustained maternal smoking in pregnancy effect on newborns adjusted for cell composition,Table S3,DNA methylation,Maternal smoking in pregnancy,"Maternal age, maternal education, parity, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Cord blood,NA,5647,9,Infants,NA,"European, African, Admixed, Other"
cg09506675,chr7:112727914,7,112727914,GPR85,Open sea,0.011,0.003,7.2e-05,-,27040690_maternal_smoking_in_pregnancy_any_maternal_smoking_in_pregnancy_effect_on_newborns,Joubert BR,PACE,27040690,2016-04-07,Maternal smoking in pregnancy,"EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950",Any maternal smoking in pregnancy effect on newborns,Table S3,DNA methylation,Maternal smoking in pregnancy,"Maternal age, maternal education, parity, batch",Beta values,NA,Illumina HumanMethylation450,Cord blood,NA,6685,13,Infants,NA,"European, East Asian, African, Admixed, Other"
cg17240725,chr7:73149356,7,73149356,WBSCR26,North shelf,NA,NA,9.59e-23,-,28056824_age_4_vs_age_0,Xu CJ,NA,28056824,2017-01-05,Age 4 vs age 0,EFO_0000246,NA,Additional file 3,DNA methylation,Age 4 vs age 0,"Sex, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,"Whole blood, cord blood",NA,269,2,NA,Both,European
cg17240725,chr7:73149356,7,73149356,WBSCR26,North shelf,NA,NA,2.79e-37,-,23526956_clear_cell_renal_carcinoma,Wozniak MB,NA,23526956,2013-03-05,Clear cell renal carcinoma,"EFO_0000349, EFO_0000681",NA,Table S6,DNA methylation,Clear cell renal carcinoma,NA,M values,NA,Illumina HumanMethylation450,"Clear cell renal carcinoma tumour cells, adjacent healthy cells",NA,129,1,Adults,Both,European
cg17361163,chr7:101006019,7,101006019,EMID2,Island,-0.000152,3.9e-05,9.77e-05,-,27843151_alcohol_consumption_per_day_european_ancestry,Liu C,CHARGE+,27843151,2016-12-15,Alcohol consumption per day,"EFO_0007878, EFO_0004329",European ancestry,Table S5,DNA methylation,Alcohol consumption per day,"Age, sex, body mass index, cell composition, batch",Beta values,g der day,Illumina HumanMethylation450,Whole blood,NA,9643,10,Adults,Both,European
cg17361163,chr7:101006019,7,101006019,EMID2,Island,-0.00033,8e-05,4.33e-05,-,27843151_alcohol_consumption_per_day_cd14_monocytes,Liu C,CHARGE+,27843151,2016-11-15,Alcohol consumption per day,"EFO_0007878, EFO_0004329",CD14+ monocytes,Table S7,DNA methylation,Alcohol consumption per day,"Age, sex, body mass index, cell composition, batch",Beta values,g per day,Illumina HumanMethylation450,CD14+ monocytes,NA,1251,1,Adults,Both,"European, African, Admixed"
cg21897367,chr7:142759657,7,142759657,OR6W1P,Open sea,-0.00975,0.0019,1.46e-07,-,23334450_rheumatoid_arthritis,Liu Y,NA,23334450,2013-01-20,Rheumatoid arthritis,EFO_0000685,NA,Table S3,DNA methylation,Rheumatoid arthritis,"Age, sex, smoking, cell composition",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,691,1,Adults,Both,European
cg24786658,chr7:112727423,7,112727423,GPR85,Open sea,0.012,0.003,5.64e-06,-,27040690_maternal_smoking_in_pregnancy_sustained_maternal_smoking_in_pregnancy_effect_on_newborns_adjusted_for_cell_counts,Joubert BR,PACE,27040690,2016-04-07,Maternal smoking in pregnancy,"EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950",Sustained maternal smoking in pregnancy effect on newborns adjusted for cell composition,Table S3,DNA methylation,Maternal smoking in pregnancy,"Maternal age, maternal education, parity, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Cord blood,NA,5647,9,Infants,NA,"European, African, Admixed, Other"
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,-0.000629,0.000132,2.03e-06,-,27717397_gestational_age_last_menstrual_periodestimated_gestational_age,Bohlin J,NA,27717397,2016-10-07,Gestational age,EFO_0005112,Last menstrual period-estimated gestational age,Table S2,DNA methylation,Gestational age,"Offspring sex, maternal age, maternal smoking, study design, caesarean section, cell composition",Beta values,days,Illumina HumanMethylation450,Cord blood,NA,1068,1,Infants,Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,0.000172,3.2e-05,8.85e-08,-,27843151_alcohol_consumption_per_day_european_ancestry,Liu C,CHARGE+,27843151,2016-12-15,Alcohol consumption per day,"EFO_0007878, EFO_0004329",European ancestry,Table S5,DNA methylation,Alcohol consumption per day,"Age, sex, body mass index, cell composition, batch",Beta values,g der day,Illumina HumanMethylation450,Whole blood,NA,9643,10,Adults,Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,-0.857676,0.2166,7.5e-05,-,27105112_hiv_infection_discovery,Gross AM,NA,27105112,2016-04-21,HIV infection,EFO_0000764,Discovery,Table S2,DNA methylation,HIV infection,"Age, cell composition",NA,NA,Illumina HumanMethylation450,Whole blood,NA,181,1,Adults,Males,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,-2.01992,0.10484,3.88e-33,-,25282492_fetal_vs_adult_liver,Bonder MJ,NA,25282492,2014-10-04,Fetal vs adult liver,"UBERON_0002107, GO_0048513",NA,Additional file 2,DNA methylation,Fetal vs adult liver,"Sex, batch",M values,NA,Illumina HumanMethylation450,Liver,NA,195,2,NA,NA,Unclear
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,NA,NA,5.01e-68,-,23526956_clear_cell_renal_carcinoma,Wozniak MB,NA,23526956,2013-03-05,Clear cell renal carcinoma,"EFO_0000349, EFO_0000681",NA,Table S6,DNA methylation,Clear cell renal carcinoma,NA,M values,NA,Illumina HumanMethylation450,"Clear cell renal carcinoma tumour cells, adjacent healthy cells",NA,129,1,Adults,Both,European
cg09535960,chr8:23193704,8,23193704,LOXL2,Open sea,NA,NA,4.6e-30,-,24500968_pancreatic_ductal_adenocarcinoma,Nones K,NA,24500968,2014-05-09,Pancreatic ductal adenocarcinoma,EFO_0002517,NA,Table S4,DNA methylation,Pancreatic ductal adenocarcinoma,NA,Beta values,NA,Illumina HumanMethylation450,"Pancreatic ductal adenocarcinoma, adjacent nontransformed pancreata",NA,196,1,NA,NA,Unclear
cg27031099,chr8:126620534,8,126620534,-,Open sea,-0.001115,0.000195,1.37e-08,-,27717397_gestational_age_last_menstrual_periodestimated_gestational_age,Bohlin J,NA,27717397,2016-10-07,Gestational age,EFO_0005112,Last menstrual period-estimated gestational age,Table S2,DNA methylation,Gestational age,"Offspring sex, maternal age, maternal smoking, study design, caesarean section, cell composition",Beta values,days,Illumina HumanMethylation450,Cord blood,NA,1068,1,Infants,Both,European
cg27031099,chr8:126620534,8,126620534,-,Open sea,-0.909465,0.2239,4.88e-05,-,27105112_hiv_infection_discovery,Gross AM,NA,27105112,2016-04-21,HIV infection,EFO_0000764,Discovery,Table S2,DNA methylation,HIV infection,"Age, cell composition",NA,NA,Illumina HumanMethylation450,Whole blood,NA,181,1,Adults,Males,European
cg16910670,chr11:71215361,11,71215361,-,Open sea,-1.396759,0.2498,2.24e-08,-,27105112_hiv_infection_discovery,Gross AM,NA,27105112,2016-04-21,HIV infection,EFO_0000764,Discovery,Table S2,DNA methylation,HIV infection,"Age, cell composition",NA,NA,Illumina HumanMethylation450,Whole blood,NA,181,1,Adults,Males,European
cg19336497,chr11:14380999,11,14380999,RRAS2,South shore,1.57743,0.17731,7.32e-14,-,25282492_fetal_vs_adult_liver,Bonder MJ,NA,25282492,2014-10-04,Fetal vs adult liver,"UBERON_0002107, GO_0048513",NA,Additional file 2,DNA methylation,Fetal vs adult liver,"Sex, batch",M values,NA,Illumina HumanMethylation450,Liver,NA,195,2,NA,NA,Unclear
cg19336497,chr11:14380999,11,14380999,RRAS2,South shore,-0.1838,0.0274,1.84e-11,-,25650246_gestational_age,Spiers H,NA,25650246,2015-02-03,Gestational age,"EFO_0005112, EFO_0000246",NA,Additional file 1,DNA methylation,Gestational age,"Sex, batch",Beta values,days,Illumina HumanMethylation450,Fetal brain,NA,179,1,NA,Both,Unclear
cg05860956,chr12:312595,12,312595,SLC6A12,Island,-1.58306,0.10678,1.56e-25,-,25282492_fetal_vs_adult_liver,Bonder MJ,NA,25282492,2014-10-04,Fetal vs adult liver,"UBERON_0002107, GO_0048513",NA,Additional file 2,DNA methylation,Fetal vs adult liver,"Sex, batch",M values,NA,Illumina HumanMethylation450,Liver,NA,195,2,NA,NA,Unclear
cg10957166,chr12:122238218,12,122238218,LOC338799,Island,0.00961,0.0016,6.08e-10,-,23334450_rheumatoid_arthritis,Liu Y,NA,23334450,2013-01-20,Rheumatoid arthritis,EFO_0000685,NA,Table S3,DNA methylation,Rheumatoid arthritis,"Age, sex, smoking, cell composition",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,691,1,Adults,Both,European
cg20188212,chr12:313104,12,313104,SLC6A12,Island,-1.70086,0.16342,5.97e-17,-,25282492_fetal_vs_adult_liver,Bonder MJ,NA,25282492,2014-10-04,Fetal vs adult liver,"UBERON_0002107, GO_0048513",NA,Additional file 2,DNA methylation,Fetal vs adult liver,"Sex, batch",M values,NA,Illumina HumanMethylation450,Liver,NA,195,2,NA,NA,Unclear
cg05406088,chr15:66947617,15,66947617,-,South shore,0.14437,0.0263,3.99e-08,-,25650246_gestational_age,Spiers H,NA,25650246,2015-02-03,Gestational age,"EFO_0005112, EFO_0000246",NA,Additional file 1,DNA methylation,Gestational age,"Sex, batch",Beta values,days,Illumina HumanMethylation450,Fetal brain,NA,179,1,NA,Both,Unclear
cg05406088,chr15:66947617,15,66947617,-,South shore,NA,NA,1.03e-13,-,24500968_pancreatic_ductal_adenocarcinoma,Nones K,NA,24500968,2014-05-09,Pancreatic ductal adenocarcinoma,EFO_0002517,NA,Table S4,DNA methylation,Pancreatic ductal adenocarcinoma,NA,Beta values,NA,Illumina HumanMethylation450,"Pancreatic ductal adenocarcinoma, adjacent nontransformed pancreata",NA,196,1,NA,NA,Unclear
cg09911534,chr15:67153556,15,67153556,-,Open sea,-0.000258,5.7e-05,6.97e-06,-,27717397_gestational_age_ultrasoundestimated_gestational_age,Bohlin J,NA,27717397,2016-10-07,Gestational age,EFO_0005112,Ultrasound-estimated gestational age,Table S1,DNA methylation,Gestational age,"Offspring sex, maternal age, maternal smoking, study design, caesarean section, cell composition",Beta values,days,Illumina HumanMethylation450,Cord blood,NA,1068,1,Infants,Both,European
cg09911534,chr15:67153556,15,67153556,-,Open sea,-1.238675,0.2726,5.52e-06,-,27105112_hiv_infection_discovery,Gross AM,NA,27105112,2016-04-21,HIV infection,EFO_0000764,Discovery,Table S2,DNA methylation,HIV infection,"Age, cell composition",NA,NA,Illumina HumanMethylation450,Whole blood,NA,181,1,Adults,Males,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,-0.605235,0.1132,9.07e-08,-,26553366_sex,Yousefi P,NA,26553366,2015-11-09,Sex,PATO_0000047,NA,Additional file 1,DNA methylation,Sex,"cell composition, batch",M values,NA,Illumina HumanMethylation450,Cord Blood,NA,111,1,Infants,Both,Admixed
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,-0.068392,0.0085,1.2e-15,-,25650246_sex,Spiers H,NA,25650246,2015-02-03,Sex,PATO_0000047,NA,Additional file 3,DNA methylation,Sex,"Gestational age, batch",Beta values,NA,Illumina HumanMethylation450,Fetal brain,NA,179,1,NA,Both,Unclear
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,NA,NA,2.89e-29,-,26500701_sex_kora_f4,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,KORA F4,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,1799,1,Adults,Both,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,NA,NA,1.01e-08,-,26500701_sex_kora_f3,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,KORA F3,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,500,1,Adults,Both,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,NA,NA,2.03e-10,-,25249537_sex_discovery,Shah S,NA,25249537,2014-09-23,Sex,PATO_0000047,Discovery,Table S3,DNA methylation,Sex,"Smoking, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,815,1,Geriatrics,Both,European
cg15035382,chr19:40728255,19,40728255,CNTD2,Island,NA,NA,6.66e-16,-,25249537_sex_replication,Shah S,NA,25249537,2014-09-23,Sex,PATO_0000047,Replication,Table S3,DNA methylation,Sex,"Smoking, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,445,1,Geriatrics,Both,European
cg16744531,chr19:17905626,19,17905626,B3GNT3,Island,NA,NA,1.78e-66,-,28056824_age_4_vs_age_0,Xu CJ,NA,28056824,2017-01-05,Age 4 vs age 0,EFO_0000246,NA,Additional file 3,DNA methylation,Age 4 vs age 0,"Sex, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,"Whole blood, cord blood",NA,269,2,NA,Both,European
cg16744531,chr19:17905626,19,17905626,B3GNT3,Island,NA,NA,9.03e-23,-,23526956_clear_cell_renal_carcinoma,Wozniak MB,NA,23526956,2013-03-05,Clear cell renal carcinoma,"EFO_0000349, EFO_0000681",NA,Table S6,DNA methylation,Clear cell renal carcinoma,NA,M values,NA,Illumina HumanMethylation450,"Clear cell renal carcinoma tumour cells, adjacent healthy cells",NA,129,1,Adults,Both,European
cg21960279,chr19:17905606,19,17905606,B3GNT3,Island,NA,NA,3.95e-39,-,28056824_age_4_vs_age_0,Xu CJ,NA,28056824,2017-01-05,Age 4 vs age 0,EFO_0000246,NA,Additional file 3,DNA methylation,Age 4 vs age 0,"Sex, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,"Whole blood, cord blood",NA,269,2,NA,Both,European
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,-0.590066,0.133,9.2e-06,-,26553366_sex,Yousefi P,NA,26553366,2015-11-09,Sex,PATO_0000047,NA,Additional file 1,DNA methylation,Sex,"cell composition, batch",M values,NA,Illumina HumanMethylation450,Cord Blood,NA,111,1,Infants,Both,Admixed
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,NA,NA,5.63e-12,-,26500701_sex_kora_f4,Singmann P,NA,26500701,2015-10-19,Sex,EFO_0001271,KORA F4,Additional file 2,DNA methylation,Sex,"Age, smoking, alcohol consumption, body mass index, triglycerides, total leucocytes, high-density lipoprotein, low-density lipoprotein, physical activity, diabetes, myocardial infarction, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,1799,1,Adults,Both,European
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,NA,NA,9.33e-07,-,25249537_sex_discovery,Shah S,NA,25249537,2014-09-23,Sex,PATO_0000047,Discovery,Table S3,DNA methylation,Sex,"Smoking, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,815,1,Geriatrics,Both,European
cg26456563,chr19:40728617,19,40728617,CNTD2,Island,NA,NA,2.39e-10,-,25249537_sex_replication,Shah S,NA,25249537,2014-09-23,Sex,PATO_0000047,Replication,Table S3,DNA methylation,Sex,"Smoking, cell composition, batch",Beta values,NA,Illumina HumanMethylation450,Whole blood,NA,445,1,Geriatrics,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,0.00044,9.6e-05,5.35e-06,-,27717397_gestational_age_ultrasoundestimated_gestational_age,Bohlin J,NA,27717397,2016-10-07,Gestational age,EFO_0005112,Ultrasound-estimated gestational age,Table S1,DNA methylation,Gestational age,"Offspring sex, maternal age, maternal smoking, study design, caesarean section, cell composition",Beta values,days,Illumina HumanMethylation450,Cord blood,NA,1068,1,Infants,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,0.000409,8.6e-05,1.96e-06,-,27717397_gestational_age_last_menstrual_periodestimated_gestational_age,Bohlin J,NA,27717397,2016-10-07,Gestational age,EFO_0005112,Last menstrual period-estimated gestational age,Table S2,DNA methylation,Gestational age,"Offspring sex, maternal age, maternal smoking, study design, caesarean section, cell composition",Beta values,days,Illumina HumanMethylation450,Cord blood,NA,1068,1,Infants,Both,European
cg04905079,chr20:3149259,20,3149259,ProSAPiP1,South shore,0.14751,0.0187,2.85e-15,-,25650246_gestational_age,Spiers H,NA,25650246,2015-02-03,Gestational age,"EFO_0005112, EFO_0000246",NA,Additional file 1,DNA methylation,Gestational age,"Sex, batch",Beta values,days,Illumina HumanMethylation450,Fetal brain,NA,179,1,NA,Both,Unclear
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,-0.0229,0.0054,2.7e-05,NA,Battram-T_cholesterol_esters_to_total_lipids_ratio_in_very_large_vldl,Battram T,ARIES,NA,2020-08-20,Cholesterol esters to total lipids ratio in very large VLDL,EFO_0008589,NA,NA,DNA methylation,Cholesterol esters to total lipids ratio in very large VLDL,"Batch effects, cell composition (reference free), ancestry (genomic PCs)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,NA,605,1,Adults,Females,European
cg02834909,chr3:46759438,3,46759438,PRSS50,Island,0.155,0.039,6.4e-05,NA,Battram-T_hip_cortical_width_calcar,Battram T,ARIES,NA,2020-08-20,Hip cortical width calcar,NA,NA,NA,DNA methylation,Hip cortical width calcar,"Batch effects, cell composition (reference free), ancestry (genomic PCs)",Beta Values,NA,Illumina HumanMethylation450,Whole blood,DXA scan measurement,664,1,Adults,Females,European
cg01159980,chr5:16509017,5,16509017,FAM134B,Open sea,0.48788,0.00936,1.3e-115,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
cg01334824,chr15:27787650,15,27787650,-,South shore,0.05275,0.00414,2.3e-27,NA,30602389_Battram-T_tissue_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse124366__tissue_types_are_buccal_epithelial_cells_and_peripheral_blood_mononuclear_cells,Battram T,GEO,30602389,2020-09-15,Tissue,NA,EWAS Catalog re-analysis of GEO data. GEO accession ID is GSE124366. Tissue types are buccal epithelial cells and peripheral blood mononuclear cells,NA,DNA methylation,Tissue,"Batch effects, cell composition (reference free)",Beta Values,NA,Illumina HumanMethylation450,Buccal cells and peripheral blood mononuclear cells,NA,215,1,Children,Both,European
